bfa_env,s,s_se,cluster,n_bcs,source
SC,0.009525065347188076,0.0047896996692666,6,7,FLC4_2N
YPD,-0.007843156312797783,0.0065302656476493,6,7,FLC4_2N
pH3_8,0.003078153863130288,0.006579524951479999,6,7,FLC4_2N
X21C,0.005830598201041339,0.005235714016934914,6,7,FLC4_2N
X37C,0.0015282661222949497,0.006381226418112575,6,7,FLC4_2N
pH7_3,-0.03808761573860725,0.009373032960331876,6,7,FLC4_2N
GlyEtOH,-0.0014971785801836742,0.011157887716518513,6,7,FLC4_2N
X02M_NaCl,0.0057887122742164,0.006227513782879,6,7,FLC4_2N
SC,-0.029069171208021504,0.00504737275070695,7,2,FLC4_2N
YPD,-0.02639464133374287,0.006866118791575813,7,2,FLC4_2N
pH3_8,-0.03471305982290776,0.007340584996375262,7,2,FLC4_2N
X21C,-0.00805350233684354,0.0049104617908516755,7,2,FLC4_2N
X37C,-0.04425931677854099,0.006444627316372523,7,2,FLC4_2N
pH7_3,-0.05664107927574062,0.008641299739478886,7,2,FLC4_2N
GlyEtOH,0.009954478784195465,0.005152189530024138,7,2,FLC4_2N
X02M_NaCl,-0.07913290496206364,0.005554272805221011,7,2,FLC4_2N
SC,0.007425709515926589,0.0044934635949045,1,50,GlyEtOH_2N
YPD,0.004802059055839538,0.006061769972569576,1,50,GlyEtOH_2N
pH3_8,0.005120921604482899,0.006238759115310025,1,50,GlyEtOH_2N
X21C,-0.0013955161094140133,0.005708479404048776,1,50,GlyEtOH_2N
X37C,0.0017151392002262634,0.005724346554463637,1,50,GlyEtOH_2N
pH7_3,-0.0034089760079693615,0.005793157489110687,1,50,GlyEtOH_2N
GlyEtOH,0.05264960982765749,0.005852860289121812,1,50,GlyEtOH_2N
X02M_NaCl,0.01307650643653262,0.005966479206050836,1,50,GlyEtOH_2N
SC,-0.027793611115250267,0.008624660540472737,2,23,GlyEtOH_2N
YPD,-0.025837380090593998,0.011928061817974225,2,23,GlyEtOH_2N
pH3_8,-0.026303609905040378,0.011910113724837527,2,23,GlyEtOH_2N
X21C,-0.033613178349272126,0.010263198571298437,2,23,GlyEtOH_2N
X37C,-0.05006300447817263,0.011660844152113799,2,23,GlyEtOH_2N
pH7_3,-0.057575626877006375,0.01937574587070625,2,23,GlyEtOH_2N
GlyEtOH,0.02951338976907038,0.006906248626711939,2,23,GlyEtOH_2N
X02M_NaCl,-0.04113842651899649,0.009965530353808186,2,23,GlyEtOH_2N
SC,-0.046011889116741145,0.008809115298589788,3,6,GlyEtOH_2N
YPD,-0.08410890517385501,0.016406665597047124,3,6,GlyEtOH_2N
pH3_8,-0.04191459871396649,0.012488802182309649,3,6,GlyEtOH_2N
