source,cluster,bfa_env,wmu_x,wse,z,pleio,is_home
pH7_3,5,02M_NaCl,0.007586980675785775,0.007581960457473675,1.0006621266808575,0,FALSE
02M_NaCl,6,02M_NaCl,0.0194161562554645,0.0059239423195886,3.277573481980306,1,TRUE
21C,6,02M_NaCl,0.018045041758304035,8.19766291271184e-4,22.01242226040082,1,FALSE
FLC4,6,02M_NaCl,0.003224633052315031,0.002101846568139152,1.534190507145308,0,FALSE
GlyEtOH,6,02M_NaCl,0.0033237172811202624,0.0064089545450166,0.5186052198957597,0,FALSE
pH3_8,6,02M_NaCl,0.019384253759475625,0.005667820015294225,3.420054572510867,1,FALSE
02M_NaCl,7,02M_NaCl,0.01677736428273,0.005433780098667162,3.087604573259281,1,TRUE
21C,7,02M_NaCl,0.04683858414466107,0.0035202771812288683,13.305368223393854,1,FALSE
37C,7,02M_NaCl,0.005316469638767437,0.005680914754519225,0.9358474591681087,0,FALSE
FLC4,7,02M_NaCl,-0.08047845737464084,0.0020525394122033304,-39.209214154991535,-1,FALSE
GlyEtOH,7,02M_NaCl,0.010161977156694754,0.0069976817634510875,1.4521919544513713,0,FALSE
pH3_8,7,02M_NaCl,0.047080783649676376,0.004794269557123825,9.82022038784174,1,FALSE
21C,8,02M_NaCl,0.03428699911047364,0.005052066364532022,6.786727773646276,1,FALSE
pH3_8,8,02M_NaCl,0.020155169212344375,0.005880093966617687,3.427695089018775,1,FALSE
21C,9,02M_NaCl,0.01535470565546425,0.005392357547863475,2.8474939799843195,1,FALSE
37C,9,02M_NaCl,-0.0500305589900255,0.010236092691231113,-4.8876617767329185,-1,FALSE
GlyEtOH,9,02M_NaCl,0.014500215383013455,0.0056981675221125785,2.544715529465084,1,FALSE
21C,10,02M_NaCl,0.019879466270892,0.00411395839842805,4.832199148753662,1,FALSE
37C,10,02M_NaCl,0.018263690169225,0.004080393760044762,4.475962674990623,1,FALSE
GlyEtOH,10,02M_NaCl,-0.05777899685491144,0.00471206053325042,-12.261938582324406,-1,FALSE
GlyEtOH,12,02M_NaCl,-0.005411903456535675,0.005903629174441625,-0.9167078921496694,0,FALSE
GlyEtOH,13,02M_NaCl,-0.0646320946611925,0.01281118527386025,-5.044973847429001,-1,FALSE
GlyEtOH,14,02M_NaCl,-0.0156838227367425,0.0053860850161099,-2.9119151832605383,-1,FALSE
GlyEtOH,15,02M_NaCl,-0.03309331664251437,0.0071273165694551,-4.643166375454603,-1,FALSE
02M_NaCl,1,21C,0.020868328237600074,0.005450190897999374,3.828916936700383,1,FALSE
21C,1,21C,0.024665500658825973,0.003938598363209403,6.262507213029729,1,TRUE
37C,1,21C,0.0011911231749156398,0.004245737023584965,0.280545678712313,0,FALSE
CLM,1,21C,-0.019336738247303854,0.008054742257332407,-2.400665052901128,-1,FALSE
FLC4,1,21C,-0.056620282774302345,0.008012519760842112,-7.066476522280873,-1,FALSE
GlyEtOH,1,21C,0.001857104834566487,0.009993224479513375,0.18583639728834747,0,FALSE
pH3_8,1,21C,0.018649489823416243,0.005666734972845225,3.29104676904494,1,FALSE
SC,1,21C,0.01775174161487075,0.004579028859032175,3.876748140570305,1,FALSE
YPD,1,21C,0.002657859719128721,0.002225631356488187,1.194204831532633,0,FALSE
02M_NaCl,2,21C,0.010059730274616426,0.005669701308619057,1.7742963389135977,0,FALSE
21C,2,21C,0.011031756308362959,0.0021422034961570617,5.149723790551659,1,TRUE
37C,2,21C,-0.010070177528208286,0.002370949646986442,-4.247318175233213,-1,FALSE
CLM,2,21C,-0.04251444485509188,0.006198546418496225,-6.858776555779336,-1,FALSE
FLC4,2,21C,-0.030948490459000676,0.003299855534602915,-9.378741018953376,-1,FALSE
GlyEtOH,2,21C,-0.0362050745328495,0.009943751039609492,-3.640987630184206,-1,FALSE
YPD,2,21C,0.013332058965876374,0.004457219727507213,2.991115489236289,1,FALSE
02M_NaCl,3,21C,0.008885957873294117,0.001953376508284198,4.549024643026624,1,FALSE
37C,3,21C,0.008647211291330975,0.005218739058366662,1.6569541405730566,0,FALSE
FLC4,3,21C,0.004878426377197828,0.01621066937876204,0.30093923102208003,0,FALSE
GlyEtOH,3,21C,-0.031907141440377075,0.010210262250126046,-3.1250070427900303,-1,FALSE
pH3_8,3,21C,0.006885561122567238,0.004445104110792,1.5490213391965781,0,FALSE
pH7_3,3,21C,-0.027274534108120693,0.009394780559095626,-2.9031581883745705,-1,FALSE
YPD,3,21C,0.0259304363876355,0.003804423224746575,6.815865337737972,1,FALSE
21C,4,21C,0.03413310206159973,0.003914523997457129,8.719604754951703,1,TRUE
37C,4,21C,0.013793652854970893,0.006897813980287208,1.9997136620950973,1,FALSE
FLC4,4,21C,-0.027989508564415295,0.010174490003770699,-2.7509495369342636,-1,FALSE
GlyEtOH,4,21C,-0.01628159852446516,0.008411733077310479,-1.935581927627089,0,FALSE
pH7_3,4,21C,-0.03869587731173401,0.009249104039779812,-4.183743327494803,-1,FALSE
02M_NaCl,5,21C,0.009198834951133003,0.002419381057239984,3.802143909329844,1,FALSE
21C,5,21C,0.0287173989028675,0.004475867810736525,6.416051616623127,1,TRUE
37C,5,21C,0.018361713762949258,0.004847514844051882,3.787861276068067,1,FALSE
FLC4,5,21C,-0.02789895301340986,0.005364308469185817,-5.200848007468203,-1,FALSE
GlyEtOH,5,21C,0.01272261308075625,0.0037513456511867626,3.3914798218424282,1,FALSE
pH7_3,5,21C,7.605417781150625e-4,0.0063623845869365874,0.11953722188951396,0,FALSE
02M_NaCl,6,21C,-0.0022367585377453,0.005627902254461275,-0.39744090011019767,0,FALSE
21C,6,21C,0.007128735228648566,0.002628917000077718,2.711662341731527,1,TRUE
FLC4,6,21C,0.006298833444558903,0.0018155057309330945,3.4694649194643765,1,FALSE
GlyEtOH,6,21C,-0.0263644767480935,0.006554797510550525,-4.022164941885322,-1,FALSE
pH3_8,6,21C,0.0015314735880270125,0.005335225258332313,0.2870494709919186,0,FALSE
02M_NaCl,7,21C,0.010319758276807362,0.004617070485582225,2.235131196076166,1,FALSE
21C,7,21C,0.0410144439343196,0.006591438896414273,6.22238096701941,1,TRUE
37C,7,21C,-0.04561019895042737,0.008389946689746625,-5.436291866570227,-1,FALSE
FLC4,7,21C,-0.0064031567120326665,0.002538268519459906,-2.522647490973545,-1,FALSE
GlyEtOH,7,21C,0.01126860230777292,0.004128948417268494,2.729170037737518,1,FALSE
pH3_8,7,21C,0.023434966841364126,0.0043881954678514,5.340456461671391,1,FALSE
21C,8,21C,0.03180804431061861,0.0033099221639324833,9.609907041689405,1,TRUE
pH3_8,8,21C,0.005548682850031062,0.005507867583808225,1.0074103572029989,0,FALSE
21C,9,21C,0.00731736851782195,0.004705724517463737,1.5549929645617717,0,TRUE
37C,9,21C,0.00488070475854955,0.005130401303614712,0.9513300168372337,0,FALSE
GlyEtOH,9,21C,0.008765408360676042,0.004335111365543653,2.021956905270137,1,FALSE
21C,10,21C,0.037116376068075,0.0029052201415102875,12.775753388787928,1,TRUE
37C,10,21C,0.03386464166634975,0.00288562497420405,11.73563507700467,1,FALSE
GlyEtOH,10,21C,-0.024406179857020812,0.020723244577758818,-1.1777200122038176,0,FALSE
GlyEtOH,12,21C,-0.0297764173305375,0.005680670746780225,-5.241708005593287,-1,FALSE
GlyEtOH,13,21C,0.007798982673275875,0.005142617525952525,1.5165395120126755,0,FALSE
GlyEtOH,14,21C,-0.024721103285008875,0.004641878442293188,-5.325667957990757,-1,FALSE
GlyEtOH,15,21C,-0.036264450410679376,0.005890508192051775,-6.156421352509449,-1,FALSE
02M_NaCl,1,37C,0.00830300079846469,0.006066405325153838,1.3686854658453165,0,FALSE
21C,1,37C,0.005946698895725878,0.004765062497645923,1.2479792025107157,0,FALSE
37C,1,37C,0.017107947104922274,0.00611127889361909,2.7994053949632423,1,TRUE
CLM,1,37C,-0.009431885741815185,0.010611871059605305,-0.8888051587545384,0,FALSE
FLC4,1,37C,-0.03665686527644341,0.009170316513143316,-3.9973391566043674,-1,FALSE
GlyEtOH,1,37C,0.0031846024277179708,0.005247391416501374,0.6068924871324466,0,FALSE
pH3_8,1,37C,0.00629008918543224,0.004865469114538193,1.2928022020810352,0,FALSE
SC,1,37C,0.009326015880541412,0.005505068094394212,1.694078205869616,0,FALSE
YPD,1,37C,-0.005886585320277501,0.0051017962828063985,-1.1538260240056872,0,FALSE
02M_NaCl,2,37C,0.0034016025070685517,0.004391029219946612,0.7746708884597013,0,FALSE
21C,2,37C,0.0039237863615802565,0.0046585149999438845,0.8422826505071942,0,FALSE
37C,2,37C,0.017871741989112958,0.010389990710193989,1.7200922010044106,0,TRUE
CLM,2,37C,-0.027561637254509375,0.00639340696586815,-4.310946792789816,-1,FALSE
FLC4,2,37C,-0.05276392158955104,0.007618882874608325,-6.925414454840737,-1,FALSE
GlyEtOH,2,37C,-0.04856183254388236,0.022943788135902213,-2.116556876146066,-1,FALSE
