GOID,GENE
GO:0006401,YDR151C
GO:0006401,YDR370C
GO:0006401,YJR084W
GO:0006401,YKR095W
GO:0006413,AEP2
GO:0006413,GCD1
GO:0006413,GCD6
GO:0006413,RDN25-1
GO:0006413,RLI1
GO:0006413,TIF2
GO:0006413,TOR1
GO:0006414,DPH1
GO:0006414,KTI11
GO:0006414,RDN25-1
GO:0006414,YOR187W
GO:0006417,AEP1
GO:0006417,AEP2
GO:0006417,ATP22
GO:0006417,CAF40
GO:0006417,DPH1
GO:0006417,GCD1
GO:0006417,GCD6
GO:0006417,GUF1
GO:0006417,HSF1
GO:0006417,KTI11
GO:0006417,MIP6
GO:0006417,MKT1
GO:0006417,NAM7
GO:0006417,NGR1
GO:0006417,NPL3
GO:0006417,PET494
GO:0006417,RLI1
GO:0006417,RPS2
GO:0006417,SKI2
GO:0006417,SLF1
GO:0006417,SSD1
GO:0006417,SUA5
GO:0006417,TIF2
GO:0006417,TMA108
GO:0006417,TPA1
GO:0006417,TPD3
GO:0006417,UPF3
GO:0006418,GUS1
GO:0006418,MES1
GO:0006418,SES1
GO:0006418,TYS1
GO:0006457,CIN1
GO:0006457,CIN2
GO:0006457,CPR8
GO:0006457,EMC5
GO:0006457,ERO1
GO:0006457,GIM3
GO:0006457,HSP82
GO:0006457,JJJ2
GO:0006457,PHO86
GO:0006457,RDN25-1
GO:0006468,AKL1
GO:0006468,BUR2
GO:0006468,CDC12
GO:0006468,CDC5
GO:0006468,CHK1
GO:0006468,CLB1
GO:0006468,CLB5
GO:0006468,CLN3
GO:0006468,CMK2
GO:0006468,COQ8
GO:0006468,FUS3
GO:0006468,GPB1
GO:0006468,GPB2
GO:0006468,HOG1
GO:0006468,HYM1
GO:0006468,KIN1
GO:0006468,KKQ8
GO:0006468,MKK1
GO:0006468,MKK2
GO:0006468,MSG5
GO:0006468,PBS2
GO:0006468,PCL5
GO:0006468,PHO81
GO:0006468,PIL1
GO:0006468,PTP3
GO:0006468,RAT1
GO:0006468,RCK2
GO:0006468,RIM15
